,piece_title,group_number,pattern_generating_match,pattern_matched,part,start_measure,start_beat,start_offset,entry_number,offset_diffs,predicted_type
58,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Tenor,123,1.0,1040.0,12,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
55,Ave Maria,17,"(1, 2, -2, -2, -2)","(1, 2, -2, -2, -2)",Altus,124,4.0,1046.0,13,"[32.0, 32.0, 0.0, 348.0, 80.0, 48.0, 152.0, 28.0, 6.0, 30.0, 28.0, 6.0]",Fuga
28,Ave Maria,18,"(1, 2, -2, 1, -2)","(1, 2, -2, 1, -2)",[Superius],33,1.0,256.0,1,"[32.0, 336.0, 24.0]",Fuga
30,Ave Maria,18,"(1, 2, -2, 1, -2)","(1, 2, -2, 1, -2)",Tenor,37,1.0,288.0,2,"[32.0, 336.0, 24.0]",Fuga
29,Ave Maria,18,"(1, 2, -2, 1, -2)","(1, 2, -2, 1, -2)",Altus,79,1.0,624.0,3,"[32.0, 336.0, 24.0]",Fuga
31,Ave Maria,18,"(1, 2, -2, 1, -2)","(1, 2, -2, 1, -2)",Bassus,82,1.0,648.0,4,"[32.0, 336.0, 24.0]",Fuga
168,Ave Maria,19,"(1, 2, 1, 2, 1)","(1, 2, 1, 2, 1)",[Superius],94,2.0,748.0,1,"[8.0, 40.0, 8.0]",ID
170,Ave Maria,19,"(1, 2, 1, 2, 1)","(1, 2, 1, 2, 1)",Tenor,94,1.0,756.0,2,"[8.0, 40.0, 8.0]",ID
169,Ave Maria,19,"(1, 2, 1, 2, 1)","(1, 2, 1, 2, 1)",[Superius],98,2.0,796.0,3,"[8.0, 40.0, 8.0]",ID
171,Ave Maria,19,"(1, 2, 1, 2, 1)","(1, 2, 1, 2, 1)",Tenor,98,1.0,804.0,4,"[8.0, 40.0, 8.0]",ID
196,Ave Maria,20,"(1, 3, -2, -2, -2)","(1, 3, -2, -2, -2)",[Superius],114,3.0,964.0,1,"[28.0, 36.0, 28.0]",ID
198,Ave Maria,20,"(1, 3, -2, -2, -2)","(1, 3, -2, -2, -2)",Tenor,117,1.0,992.0,2,"[28.0, 36.0, 28.0]",ID
197,Ave Maria,20,"(1, 3, -2, -2, -2)","(1, 3, -2, -2, -2)",[Superius],122,3.0,1028.0,3,"[28.0, 36.0, 28.0]",ID
199,Ave Maria,20,"(1, 3, -2, -2, -2)","(1, 3, -2, -2, -2)",Tenor,125,1.0,1056.0,4,"[28.0, 36.0, 28.0]",ID
133,Ave Maria,21,"(2, -3, -2, -2, 1)","(2, -3, -2, -2, 1)",[Superius],56,1.0,440.0,1,"[4.0, 36.0, 4.0]",ID
