,pattern_generating_match,pattern_matched,piece_title,part,start_measure,start_beat,start_offset,sub_group_id,predicted_type,offset_diffs,entry_number
154,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,Bassus,70,3.0,556.0,38.0,ID,"[16.0, 8.0, 16.0]",4
149,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,[Superius],78,4.0,622.0,39.0,Fuga,[24.0],1
153,"(2, -3, 2, -2, -2)","[2, -3, 2, -2, -2]",Ave Maria,Tenor,81,4.0,646.0,39.0,Fuga,[24.0],2
137,"(2, -3, 2, -3, 2)","[2, -3, 2, -3, 2]",Ave Maria,[Superius],64,3.0,508.0,41.0,Fuga,"[16.0, 8.0, 16.0, 32.0]",1
138,"(2, -3, 2, -3, 2)","[2, -3, 2, -3, 2]",Ave Maria,Altus,66,3.0,524.0,41.0,Fuga,"[16.0, 8.0, 16.0, 32.0]",2
139,"(2, -3, 2, -3, 2)","[2, -3, 2, -3, 2]",Ave Maria,Tenor,67,3.0,532.0,41.0,Fuga,"[16.0, 8.0, 16.0, 32.0]",3
141,"(2, -3, 2, -3, 2)","[2, -3, 2, -3, 2]",Ave Maria,Bassus,69,3.0,548.0,41.0,Fuga,"[16.0, 8.0, 16.0, 32.0]",4
142,"(2, -3, 2, -3, 2)","[2, -3, 2, -3, 2]",Ave Maria,Bassus,73,3.0,580.0,41.0,Fuga,"[16.0, 8.0, 16.0, 32.0]",5
95,"(2, -3, 2, 2, 2)","[2, -3, 2, 2, 2]",Ave Maria,Tenor,45,2.0,354.0,42.0,ID,"[2.0, 14.0, 2.0]",1
93,"(2, -3, 2, 2, 2)","[2, -3, 2, 2, 2]",Ave Maria,[Superius],45,3.0,356.0,42.0,ID,"[2.0, 14.0, 2.0]",2
96,"(2, -3, 2, 2, 2)","[2, -3, 2, 2, 2]",Ave Maria,Tenor,47,2.0,370.0,42.0,ID,"[2.0, 14.0, 2.0]",3
